Species,Class,Blood
Aegithalos caudatus,Bird,Warm
Aegithalos concinnus,Bird,Warm
Psaltriparus minimus,Bird,Warm
Eremophila bilopha,Bird,Warm
Galerida cristata,Bird,Warm
Mirafra javanica,Bird,Warm
Dulus dominicus,Bird,Warm
Auriparus flaviceps,Bird,Warm
Campylorhynchus bruneicapillus,Bird,Warm
Certhia familiaris,Bird,Warm
Cyphorhinus aradus,Bird,Warm
Donacobius atricapillus,Bird,Warm
Henicorhina leucosticta,Bird,Warm
Polioptila dumicola,Bird,Warm
Ramphocaenus melanurus,Bird,Warm
Thryomanes bewickii,Bird,Warm
Thryothurus ludovicianus,Bird,Warm
Cinclus mexicanus,Bird,Warm
Cisticola cherinus,Bird,Warm
Cisticola fulvicapilla,Bird,Warm
PriniaSchistolais leucopogon,Bird,Warm
Climacteris picumnus,Bird,Warm
Climacteris rufa,Bird,Warm
Cormobates leucophaeus,Bird,Warm
Conopophaga lineata,Bird,Warm
Aegithina tiphia,Bird,Warm
Aphelocoma caerulescens,Bird,Warm
Aphelocoma ultramarina,Bird,Warm
Artamus cinereus,Bird,Warm
Artamus cyanopterus,Bird,Warm
Artamus leucorhynchus,Bird,Warm
Artamus superciliosus,Bird,Warm
Batis capensis,Bird,Warm
Bias musicus,Bird,Warm
Campephaga phoenicea,Bird,Warm
Cicinnurus regius,Bird,Warm
Cinclosoma cinnamomeum,Bird,Warm
Cissa chinensis,Bird,Warm
Colluricincla harmonica,Bird,Warm
Coracina caledonica,Bird,Warm
Coracina novaehollandiae,Bird,Warm
Corcorax melanorhamphus,Bird,Warm
Corvus albicollis,Bird,Warm
Corvus albus,Bird,Warm
Corvus brachyrhynchos,Bird,Warm
Corvus corax,Bird,Warm
Corvus corone,Bird,Warm
Corvus coronoides,Bird,Warm
Corvus cryptoleucos,Bird,Warm
Corvus frugilegus,Bird,Warm
Corvus mellori,Bird,Warm
Corvus monedula,Bird,Warm
Corvus orru,Bird,Warm
Corvus ossifragus,Bird,Warm
Cracticus torquatus,Bird,Warm
Cyanocitta cristata,Bird,Warm
Cyanocitta stelleri,Bird,Warm
Cyanocorax chrysops,Bird,Warm
Cyanocorax yncas,Bird,Warm
Cyanopica cyana,Bird,Warm
Dendrocitta vagabunda,Bird,Warm
Dryoscopus cubla,Bird,Warm
Falculuncus frontatus,Bird,Warm
Garrulus glandarius,Bird,Warm
Grallina cyanoleuca,Bird,Warm
Gymnorhina tibicen,Bird,Warm
Gymnorhinus cyanocephalus,Bird,Warm
Hypothymis azurea,Bird,Warm
Lalage sueurii,Bird,Warm
Laniarius erythrogaster,Bird,Warm
Lophorina superba,Bird,Warm
Monarcha guttula,Bird,Warm
Monarcha melanopsis,Bird,Warm
Monarcha trivirgatus,Bird,Warm
Myiagra alecto,Bird,Warm
Myiagra caledonica,Bird,Warm
Myiagra inquieta,Bird,Warm
Nucifraga caryocatactes,Bird,Warm
Oreoica gutturalis,Bird,Warm
Oriolus oriolus,Bird,Warm
Parotia lawesii,Bird,Warm
Pericrocotus ethologus,Bird,Warm
Perisoreus canadensis,Bird,Warm
Pica pica,Bird,Warm
Pitohui ferrugineus,Bird,Warm
Platysteira cyanea,Bird,Warm
Podoce hendersoni,Bird,Warm
Prionops plumatus,Bird,Warm
Psilorhinus morio,Bird,Warm
Psophodes occidentalis,Bird,Warm
Ptiloris paradiseus,Bird,Warm
Ptiloris victoriae,Bird,Warm
Pyrrhocorax graculus,Bird,Warm
Pyrrhocorax pyrrhocorax,Bird,Warm
Rhipidura leucophrys,Bird,Warm
Rhipidura rufifrons,Bird,Warm
Sphecotheres viridis,Bird,Warm
Strepera fuliginosa,Bird,Warm
Struthidea cinerea,Bird,Warm
Tchagra australis,Bird,Warm
Telophorus zeylonus,Bird,Warm
Tephrodornis pondicerianus,Bird,Warm
Urocissa erythrorhyncha,Bird,Warm
Smithornis capensis,Bird,Warm
Chamaeza campanisona,Bird,Warm
Formicarius analis,Bird,Warm
Formicarius colma,Bird,Warm
Grallaria quitensis,Bird,Warm
Agelaius phoeniceus,Bird,Warm
Agelaius ruficapillus,Bird,Warm
Aimophila cassinii,Bird,Warm
Amblycercus holosericeus,Bird,Warm
Amblyramphus holosericeus,Bird,Warm
Ammodramus savannarum,Bird,Warm
Amphispiza bilineata,Bird,Warm
Anisognathus somptuosus,Bird,Warm
Arremonops conirostris,Bird,Warm
Basileuterus culicivorus,Bird,Warm
Basileuterus fulvicauda,Bird,Warm
BuarremonAtlapetes brunneinucha,Bird,Warm
Cacicus cela,Bird,Warm
Calamospiza melanocorys,Bird,Warm
Calcarius lapponicus,Bird,Warm
Cardellina rubrifrons,Bird,Warm
Cardinalis cardinalis,Bird,Warm
Carduelis ambigua,Bird,Warm
Carduelis cannabina,Bird,Warm
Carduelis carduelis,Bird,Warm
Carduelis chloris,Bird,Warm
Carduelis flammea,Bird,Warm
Carduelis pinus,Bird,Warm
Carduelis spinus,Bird,Warm
Carduelis tristis,Bird,Warm
Carpodacus mexicanus,Bird,Warm
Carpodacus purpureus,Bird,Warm
Carpodacus roseus,Bird,Warm
Caryothraustes poliogaster,Bird,Warm
Chlorophonia cyanea,Bird,Warm
Chlorospingus ophthalmicus,Bird,Warm
Chlorothraupis carmioli,Bird,Warm
Cissopis leveriana,Bird,Warm
