key,group,count,total,frac,type,hex,combined
Pred_0_001,Low,537205,9978486,5.38,rand,#ff9e27,Low.rand
Pred_0_001,Low,27758,172389,16.1019554611953,pred,#ff9e27,Low.pred
Pred_0_001,Mid,8796777,9978486,88.16,rand,#006400,Mid.rand
Pred_0_001,Mid,136773,172389,79.3397490559142,pred,#006400,Mid.pred
Pred_0_001,High,644504,9978486,6.46,rand,#b2182b,High.rand
Pred_0_001,High,7858,172389,4.55829548289044,pred,#b2182b,High.pred
Pred_0_005,Low,473782,9978486,4.75,rand,#ff9e27,Low.rand
Pred_0_005,Low,12254,172389,7.10834217960543,pred,#ff9e27,Low.pred
Pred_0_005,Mid,8845531,9978486,88.64,rand,#006400,Mid.rand
Pred_0_005,Mid,152458,172389,88.4383574357993,pred,#006400,Mid.pred
Pred_0_005,High,659173,9978486,6.61,rand,#b2182b,High.rand
Pred_0_005,High,7677,172389,4.4533003845953,pred,#b2182b,High.pred
Pred_0_01,Low,466936,9978486,4.68,rand,#ff9e27,Low.rand
Pred_0_01,Low,10602,172389,6.15004437638132,pred,#ff9e27,Low.pred
Pred_0_01,Mid,8852452,9978486,88.71,rand,#006400,Mid.rand
Pred_0_01,Mid,154199,172389,89.448282663047,pred,#006400,Mid.pred
Pred_0_01,High,659098,9978486,6.61,rand,#b2182b,High.rand
Pred_0_01,High,7588,172389,4.40167296057173,pred,#b2182b,High.pred
Pred_0_05,Low,466902,9978486,4.68,rand,#ff9e27,Low.rand
Pred_0_05,Low,9043,172389,5.24569433084478,pred,#ff9e27,Low.pred
Pred_0_05,Mid,8861591,9978486,88.81,rand,#006400,Mid.rand
Pred_0_05,Mid,155746,172389,90.3456717075916,pred,#006400,Mid.pred
Pred_0_05,High,649993,9978486,6.51,rand,#b2182b,High.rand
Pred_0_05,High,7600,172389,4.40863396156367,pred,#b2182b,High.pred
