key,group,p_value,ClinicalSignificance,signif_level
Pred: 0.001 (FPR),High,4.38414514708077e-102,Pathogenic,***
Pred: 0.001 (FPR),High,5.38091130295129e-31,Benign,***
Pred: 0.001 (FPR),Low,1.78381692856493e-43,Pathogenic,***
Pred: 0.001 (FPR),Low,2.45296266044923e-05,Benign,***
Pred: 0.001 (FPR),Mid,0.00758273816634835,Pathogenic,**
Pred: 0.001 (FPR),Mid,0.0959002048594267,Benign,N.S.
Pred: 0.005 (FPR),High,2.5011206121271e-56,Pathogenic,***
Pred: 0.005 (FPR),High,1.7219261887684e-28,Benign,***
Pred: 0.005 (FPR),Low,2.1870275943328e-110,Pathogenic,***
Pred: 0.005 (FPR),Low,0.092712660032458,Benign,N.S.
Pred: 0.005 (FPR),Mid,1.07259190181918e-13,Pathogenic,***
Pred: 0.005 (FPR),Mid,2.88639952539509e-18,Benign,***
Pred: 0.01 (FPR),High,4.86898772357813e-21,Pathogenic,***
Pred: 0.01 (FPR),High,5.2737304388188e-32,Benign,***
Pred: 0.01 (FPR),Low,1.51504095338411e-20,Pathogenic,***
Pred: 0.01 (FPR),Low,4.42566256153069e-05,Benign,***
Pred: 0.01 (FPR),Mid,0.805618961737084,Pathogenic,N.S.
Pred: 0.01 (FPR),Mid,1.37239260480466e-30,Benign,***
Pred: 0.05 (FPR),High,0.00114295123308591,Pathogenic,**
Pred: 0.05 (FPR),High,3.95889119757374e-18,Benign,***
Pred: 0.05 (FPR),Low,4.41400004445074e-44,Pathogenic,***
Pred: 0.05 (FPR),Low,4.98535240612292e-08,Benign,***
Pred: 0.05 (FPR),Mid,3.31630902775642e-12,Pathogenic,***
Pred: 0.05 (FPR),Mid,1.76318669355851e-25,Benign,***
